lemma,poscode,surface
vacuum sizing,2,vacuum sizing
abel tester,3,closed-cup flash tester
annular blowout preventer,3,annular blowout preventer
analogous reservoir,3,analogous reservoir
blender,3,blender
blown films,3,blown films
bottom seal,3,bottom seal
barrel liner,3,barrel liner
bakelite,3,bakelite
blowout preventer,3,blowout preventer
cladding,3,cladding
ziegler catalyst,3,ziegler catalyst,ziegler catalysts
catalyst,3,catalyst
coordination catalyst,3,coordination catalyst,coordination catalysts
centerfold,3,centerfold
calendaring,3,calendaring
cored rolls,3,cored rolls
coreless rolls,3,coreless rolls
crosshead die,3,crosshead die
cooling tank,3,cooling tank
core,3,core
case,3,case
cross-linking,3,cross-linking
cast film,3,cast film
can liner,3,can liner
cutter stock,3,cutter stock
computer numerical control,3,computer numerical control
computer-aided design,3,computer-aided design
camber,3,camber
cat cracker,3,cat cracker
centipoise,3,centipoise
centistoke,3,centistoke
centrifuge,3,centrifuge
cfr diesel fuel testing unit,3,cfr diesel fuel testing unit
clarifier,3,clarifier
die plate,3,die plate
die gap,3,die gap
die lines,3,die lines
double wound sheeting,3,double wound sheeting
dimer,3,dimer
double hull,3,double hull
embossing,3,embossing
embossing roll,3,embossing roll
extrudate,3,extrudate
extruder head,3,extruder head
extrusion coating,3,extrusion coating
film,3,film
filler,3,filler
gas cap,3,gas cap
gauge bands,3,gauge bands
gauge,3,gauge
gel,3,gel
geophones,3,geophones
gloss,3,gloss
gusset,3,gusset
homogenizer,3,homogenizer
hydrometer,3,hydrometer
heat seal,3,heat seal
hot tack,3,hot tack
innage,3,innage
layflat,3,layflat
layering,3,layering
layer,3,layer
outer die ring,3,outer die ring
purifier,3,purifier
peristaltic pump,3,peristaltic pump
pipeline,3,pipeline
plastic film,3,plastic film
plastic sheet,3,plastic sheet
processing aid,3,processing aid
prn bags,3,prn bags
ramsbottom coke,3,ramsbottom coke
ram style blowout preventer,3,ram style blowout preventer
reservoir,3,reservoir
ram extruder,3,ram extruder
screw,3,screw
static mixer,3,static mixer
stoke,3,stoke
screw extruder,3,screw extruder
sickness bags,3,sickness bags
side-gusset bag,3,side-gusset bag
single hull,3,single hull
straight-run,3,straight-run
super tanker,3,super tanker
sheeting,3,sheeting
twin screw extruder,3,twin screw extruder
two-stage extruder,3,two-stage extruder
two-stage screw,3,two-stage screw
thermoset,3,thermoset
tubing,3,tubing
vacuum tank,3,vacuum tank
viscosimeter,3,viscosimeter
vented extruder,3,vented extruder
vanadium inhibitor,3,vanadium inhibitor
air-purifying respirator,3,air-purifying respirator
canister,3,canister
chemical inventory,3,chemical inventory
chemical resistant gloves,3,chemical resistant gloves
demand respirator,3,demand respirator
denier,3,denier
dust mask,3,dust mask
eye wash station,3,eye wash station
filtering facepiece,3,filtering facepiece
hepa,3,hepa
negative pressure respirator,3,negative pressure respirator
nitrile rubber,3,nitrile rubber
papr,3,papr
ppe,3,ppe
positive pressure respirator,3,positive pressure respirator
respirator,3,respirator
safety can,3,safety can
scba,3,scba
